pickup_year,pickup_month,pickup_day,pickup_time,trip_distance,pickup_location,dropoff_location,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,tip_amount,total_amount,payment_type
2016,2,1,0,10.7,40.77396011,1,40.71646118,1,30.5,0.5,6.36,0.5,0,-74.01435852
2016,7,17,0,1.13,114,107,6,0.5,0.5,0,0.3,0.73,8.03,1
2016,2,1,0,2.01,40.7062912,1,40.73075867,1,9,0.5,2.06,0.5,0,-73.98882294
2016,2,1,0,3.6,40.71747208,1,40.75882721,1,13,0.5,1,0.5,0,-73.98854828
2016,2,1,0,4.63,40.73231125,1,40.7714119,1,16,0.5,0,0.5,0,-73.95070648
2016,7,10,0,0.9,48,161,6.5,0,0.5,0,0.3,0,7.3,2
2016,1,29,0,2.01,40.79672623,1,40.77848053,1,10.5,0.5,1.11,0,0,-73.95339966
2016,9,4,0,0.9,148,144,6.5,0.5,0.5,0,0.3,1.55,9.35,1
2016,11,1,0,11.26,261,244,34,0.5,0.5,0,0.3,0,35.3,2
2016,7,17,0,3.3,43,41,11,0.5,0.5,0,0.3,2.46,14.76,1
2016,1,1,0,4.59,40.7845192,1,40.73197174,2,19,0.5,0,0.5,0,-73.9881897
2016,11,15,0,3.81,161,145,14,0.5,0.5,0,0.3,3.06,18.36,1
2016,11,15,0,2.5,100,107,10,0.5,0.5,0,0.3,2.25,13.55,1
2016,9,4,0,1,158,234,6.5,0.5,0.5,0,0.3,0,7.8,2
2016,2,1,0,8.61,40.77398682,1,40.77669144,2,26.5,0.5,0,0.5,5.54,-73.95557404
2016,7,10,0,2.79,141,100,12,0,0.5,0,0.3,0,12.8,2
2016,7,10,0,1.23,226,7,6.5,0,0.5,0,0.3,2.19,9.49,1
2016,9,4,0,6.9,48,87,23,0.5,0.5,0,0.3,4.86,29.16,1
2016,2,1,0,10.43,40.77000809,1,40.70248795,1,30,0.5,5,0.5,0,-73.98284149
2016,1,29,0,0.34,40.77048874,1,40.76816177,2,3.5,0.5,0,0,0,-73.96286011
2016,7,10,0,2.21,161,43,9,0,0.5,0,0.3,1.96,11.76,1
2016,7,17,0,2.3,170,158,11,0.5,0.5,0,0.3,0,12.3,2
2016,9,4,0,0.5,68,48,4.5,0.5,0.5,0,0.3,1.15,6.95,1
2016,11,1,0,0.68,140,237,6.5,1,0.5,0,0.3,1.24,9.54,1
2016,9,4,0,0.85,211,114,5,0.5,0.5,0,0.3,0,6.3,2
2016,7,10,0,1.3,79,234,8,0,0.5,0,0.3,1.75,10.55,1
2016,11,1,0,1.58,79,170,7.5,0.5,0.5,0,0.3,0,8.8,2
2016,7,10,0,1.9,151,142,7.5,0,0.5,0,0.3,0,8.3,1
2016,1,29,0,0.6,40.75483322,1,40.75853348,1,5.5,0.5,1.25,0,0,-73.9769516
2016,11,1,0,1.65,79,45,9.5,0.5,0.5,0,0.3,1,11.8,1
2016,7,10,0,0.87,261,87,6,0,0.5,0,0.3,1,7.8,1
2016,9,4,0,6.2,48,129,21,0.5,0.5,0,0.3,2.5,24.8,1
2016,2,1,0,18.53,40.64148331,2,40.73815918,2,52,0.5,0,0,5.54,-73.99610901
2016,1,1,0,0.44,40.7720108,1,40.76977158,1,4,0.5,1.06,0.5,0,-73.99504089
2016,1,1,0,4.75,40.71899033,1,40.65733337,2,16.5,0.5,0,0,0,-73.96224213
2016,1,1,0,0.01,40.72153854,1,40.72169876,2,2.5,0.5,0,0.5,0,-73.98896027
2016,1,1,0,4.9,40.74716568,1,40.71749115,1,19,0.5,1.7,0.5,0,-73.95803833
2016,2,1,0,2.35,40.76156998,1,40.77524948,1,8.5,0.5,1.96,0.5,0,-73.95968628
2016,11,1,0,0.4,162,164,5.5,1,0.5,0,0.3,0,7.3,1
